CLIENTE,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO
1,3504548,12644807,11512595,5880984,7648567,8053136,0
2,460000,6857000,7601506,2877214,14876300,290000,686400
3,582530,9415148,4869150,10402175,2571556,1344600,-1879200
4,13369438,30900,6010125,488325,5561096,0,2149500
5,3441965,6891609,9712066,2292609,432238,403496,50567
6,0,9428214,6652330,2280000,3436680,2482000,5733450
7,-2119428,4138704,3852924,12608721,97762,2017889,1473926
8,0,0,0,14104920,0,15480000,0
9,6850220,4134650,1151010,181440,1413550,1451420,637175
10,8760000,4830000,0,0,0,8140000,7932000
11,0,2221572,786020,5703555,4363956,555060,2812816
12,5521600,4902734,0,0,0,5366212,2413967
13,1470876,2115140,2856258,959592,1881641,1034537,1092692
14,447595,2388875,1270408,1193712,2398765,692820,0
15,-1468069,0,7650000,1275000,0,4020000,8755432
16,3457454,3946069,0,0,0,0,0
17,4902828,1265171,622012,0,0,0,0
18,0,0,300000,1194248,4539464,0,0
19,1004500,1727976,1769430,616500,571300,1074720,875150
20,2453130,0,0,1001140,1997379,1012240,1154590
21,4367310,174980,160000,0,140000,0,2300010
22,140100,0,0,4676354,0,5974113,-218400
23,0,3788280,0,0,0,0,0
24,611380,1630000,0,808004,0,0,610000
25,0,0,2890000,0,0,0,0
26,1428600,0,720000,0,578000,0,0
27,2000000,0,0,0,688852,0,0
28,0,280385,602478,208150,1562103,0,2394201
29,2280000,0,0,0,0,0,1900000
30,0,0,0,2247500,0,40116,346800
31,0,590800,0,192270,1401260,106350,2673771
32,0,2123328,0,0,0,0,0
33,1102494,0,0,0,0,0,0
34,0,0,0,0,952383,0,0
35,0,0,0,0,919952,0,0
36,0,0,0,747019,40500,0,0
37,0,0,740120,0,0,0,0
38,712564,0,0,0,0,0,0
39,0,0,0,0,657000,141200,192125
40,0,187746,92400,292000,0,0,1204310
41,0,0,0,553558,0,0,0
42,0,0,0,540000,0,0,0
43,0,0,483160,0,0,0,0
44,0,0,0,0,417200,0,0
45,0,416196,0,0,0,0,0
46,0,382660,0,0,0,0,0
47,0,0,96900,0,227100,200120,0
48,0,254810,0,0,0,0,0
49,0,242250,0,0,0,0,0
50,0,0,238080,0,0,0,0
51,0,0,0,0,129165,27864,183272
52,0,0,0,125194,0,0,0
53,120930,0,0,0,0,0,223820
54,0,0,0,89700,0,0,0
55,0,0,0,0,84000,249830,16950
56,0,0,0,2780,67980,0,785000
57,0,67082,0,0,0,0,0
58,62000,0,0,0,0,0,0
59,0,0,0,0,52755,0,0
60,0,47900,0,0,0,0,0
61,0,0,0,27455,0,39662,0
62,27000,0,0,0,0,0,0
63,0,0,0,22890,0,0,0
64,6000,16800,0,0,0,0,0
65,0,0,0,0,18000,0,0
66,0,13445,0,0,0,0,0
67,0,0,0,0,10924,0,0
68,0,0,0,0,6120,0,0
69,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0
71,0,0,0,0,0,1458340,290850
72,0,0,0,0,0,119000,0
73,0,0,0,0,0,957950,0
74,0,0,0,0,0,31933,0
75,0,0,0,0,0,31404,0
76,0,0,0,0,0,218400,0
77,0,0,0,0,0,190000,0
78,0,0,0,0,0,0,56115
79,0,0,0,0,0,0,2980000
80,0,0,0,0,0,0,280370
81,0,0,0,0,0,0,0
82,0,0,0,0,0,0,8500000
83,0,0,0,0,0,0,5000
84,0,0,0,0,0,0,1134000
85,0,0,0,0,0,0,269500
86,0,0,0,0,0,0,894600
87,0,0,0,0,0,0,18009000
88,0,0,0,0,0,10000,0
